date,sales
2011-01,148
2011-02,136
2011-03,119
2011-04,104
2011-05,118
2011-06,115
2011-07,126
2011-08,141
2011-09,135
2011-10,125
2011-11,149
2011-12,158
2012-01,133
2012-02,114
2012-03,140
2012-04,145
2012-05,150
2012-06,178
2012-07,163
2012-08,172
2012-09,191
2012-10,172
2012-11,194
2012-12,196
2013-01,196
2013-02,236
2013-03,235
2013-04,229
2013-05,243
2013-06,264
2013-07,272
2013-08,237
2013-09,211
2013-10,180
2013-11,162
2013-12,146
2014-01,166
2014-02,171
2014-03,180
2014-04,193
2014-05,181
2014-06,183
2014-07,218
2014-08,230
2014-09,242
2014-10,209
2014-11,191
2014-12,172
2015-01,194
2015-02,196
2015-03,196
2015-04,236
2015-05,235
2015-06,229
2015-07,243
2015-08,264
2015-09,293
2015-10,259
2015-11,229
2015-12,203
2016-01,229
2016-02,242
2016-03,233
2016-04,267
2016-05,269
2016-06,218
2016-07,230
2016-08,242
2016-09,209
2016-10,191
2016-11,172
2016-12,194
2017-01,196
2017-02,196
2017-03,236
2017-04,235
2017-05,229
2017-06,243
2017-07,264
2017-08,272
2017-09,237
2017-10,211
2017-11,180
2017-12,201
2018-01,204
2018-02,188
2018-03,235
2018-04,227
2018-05,234
2018-06,264
2018-07,302
2018-08,293
2018-09,259
2018-10,229
2018-11,203
2018-12,229
2019-01,271
2019-02,306
2019-03,315
2019-04,301
2019-05,356
2019-06,348
2019-07,355
2019-08,422
2019-09,465
2019-10,467
2019-11,404
2019-12,347
2020-01,305
2020-02,336
2020-03,340
2020-04,318
2020-05,362
2020-06,348
2020-07,363
2020-08,435
2020-09,360
2020-10,342
2020-11,406
2020-12,379
2021-01,396
2021-02,420
2021-03,472
2021-04,548
2021-05,461
